,detail,link,title
0,Financial inclusion and access to financial services for all households in the country.,http://www.pmjdy.gov.in,Pradhan Mantri Jan Dhan Yojana (PMJDY)
1,Secure the future of girl child,http://www.nsiindia.gov.in,Pradhan Mantri Sukanya Samriddhi Yojana (PMSSY)
2,Financial support for growth of micro enterprises sector.,http://www.mudra.org.in,Pradhan Mantri MUDRA Yojana (PMMY)
3,Provide life insurance cover to all Indian citizens,http://www.jansuraksha.gov.in,Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY)
4,Provide accidental insurance cover to all Indian citizens,http://www.jansuraksha.gov.in,Pradhan Mantri Suraksha Bima Yojana (PMSBY)
5,Increase the number of people covered under any kind of pension scheme.,http://www.jansuraksha.gov.in,Atal Pension Yojana (APY)
6,"Achieve housing for all by the year 2022, 2 crore in Urban  and 3 Crore homes in Rural areas.",http://mhupa.gov.in,Pradhan Mantri Awas Yojana (PMAY)
7,"Social, cultural, economic, infrastructure developments in the villages, i.e. development of model villages called “Adarsh Gram”",http://rural.nic.in,Sansad Adarsh Gram Yojana (SAGY)
8,Provide insurance cover to rabi and kharif crops and financial support to farmers in case of damage of crops.,http://agricoop.nic.in,Pradhan Mantri Fasal Bima Yojana (PMFBY)
9,Irrigating the field of every farmer and improving water use efficiency to provide `Per Drop More Crop’.,http://agricoop.nic.in,Pradhan Mantri Gram Sinchai Yojana (PMGSY)
10,Implement the pro-poor welfare schemes in more effective way and reaches out to more poor population across the country.,http://niti.gov.in,Pradhan Mantri Garib Kalyan Yojanay (PMGKY)
11,Provides drugs/medicines at affordable cost across the country.,http://janaushadhi.gov.in,Pradhan Mantri Jan Aushadhi Yojana (PMJAY)
12,"To encourage multi-national, as well as domestic companies to manufacture their products in India and create jobs and skill enhancement in 25 sectors.",http://www.makeinindia.com,Make in India
13,To fulfil Mahatma Gandhi’s dream of a clean and hygienic India.,http://swachhbharat.mygov.in,Swachh Bharat Abhiyan
14,To provide safe and secure investment avenues to the small investors.,http://www.nsiindia.gov.in,Kisan Vikas Patra
15,To help farmers to improve productivity from their farms by letting them know about nutrient/fertilizer requirements for their farms.,http://www.soilhealth.dac.gov.in,Soil Health Card Scheme
16,To deliver Government services to citizens electronically by improving online infrastructure and by increasing Internet connectivity.,http://www.digitalindia.gov.in,Digital India
17,Train over 40 crore people in India in different skills by 2022.,http://skillindia.gov.in,Skill India
18,To generate awareness and improving the efficiency of welfare services meant for women.,http://wcd.nic.in,"Beti Bachao, Beti Padhao Yojana"
19,"To immunize all children as well as pregnant women against seven vaccine preventable diseases namely diphtheria, whooping cough (Pertussis), tetanus, polio, tuberculosis, measles and hepatitis B by 2020.",http://www.missionindradhanush.in,Mission Indradhanush
20,Electric supply feeder separation (rural households &amp; agricultural) and strengthening of sub-transmission &amp; distribution infrastructure including metering at all levels in rural areas.,http://powermin.nic.in,Deen Dayal Upadhyaya Gram Jyoti Yojana (DDUGJY)
